Week,Layoff Google Searches in New York
2019-12-29,16
2020-01-05,23
2020-01-12,40
2020-01-19,26
2020-01-26,33
2020-02-02,33
2020-02-09,37
2020-02-16,30
2020-02-23,46
2020-03-01,33
2020-03-08,39
2020-03-15,73
2020-03-22,84
2020-03-29,100
2020-04-05,84
2020-04-12,85
2020-04-19,80
2020-04-26,84
2020-05-03,91
2020-05-10,76
2020-05-17,84
2020-05-24,77
2020-05-31,62
2020-06-07,48
2020-06-14,54
2020-06-21,75
2020-06-28,63
2020-07-05,59
2020-07-12,56
2020-07-19,59
2020-07-26,56
2020-08-02,65
2020-08-09,63
2020-08-16,70
2020-08-23,95
2020-08-30,95
2020-09-06,53
2020-09-13,60
2020-09-20,52
2020-09-27,77
2020-10-04,52
2020-10-11,36
2020-10-18,34
2020-10-25,39
2020-11-01,35
2020-11-08,35
2020-11-15,40
2020-11-22,24
2020-11-29,31
2020-12-06,27
2020-12-13,23
2020-12-20,17
2020-12-27,14
